title,Production_Budget,Domestic_Gross,Worldwide_Gross,id,poster_path,release_date,runtime,tagline,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,overview,tagline_wordcount,synopsis_wordcount,release_year,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3
Edge of Tomorrow,178000000,100206256,370541256,137113,/tpoVEYvm6qcXueZrQYJNRLXL88s.jpg,2014-05-27,113.0,"Live, Die, Repeat",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,RatPac-Dune Entertainment,Village Roadshow Pictures,Viz Media,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",3,71,2014,5,27,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,Lucinda Syson,Christophe Beck,Doug Liman,Erwin Stoff,Christopher McQuarrie,killed within minutes,major bill cage,unceremoniously demoted
Captain Marvel,175000000,426829839,1126129839,299537,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,124.0,Higher. Further. Faster.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,Walt Disney Pictures,Animal Logic,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",3,53,2019,3,6,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,Annette Bening,Sarah Finn,Pinar Toprak,Ryan Fleck,Kevin Feige,Ryan Fleck,story follows carol danvers,two alien races,previously unseen period
Spider-Man: Homecoming,175000000,334201140,880166350,315635,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,133.0,Homework can wait. The city can't.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,Columbia Pictures,Pascal Pictures,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",6,50,2017,7,5,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,Jon Favreau,Sarah Finn,Michael Giacchino,Jon Watts,Kevin Feige,,superhero alter ego spider,ordinary high school student,mentor tony stark
Up,175000000,293004164,731463377,14160,/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg,2009-05-28,96.0,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",1,49,2009,5,28,Ed Asner,Jordan Nagai,Christopher Plummer,Bob Peterson,Delroy Lindo,Kevin Reher,,Pete Docter,Jonas Rivera,Bob Peterson,year old wilderness explorer named russell,carl fredricksen spent,entire life dreaming
Coco,175000000,209726015,807126015,354912,/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,2017-10-27,105.0,The celebration of a lifetime,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,Walt Disney Pictures,,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",5,71,2017,10,27,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renée Victor,Carla Hool,Michael Giacchino,Lee Unkrich,Darla K. Anderson,Matthew Aldrich,meets charming trickster hector,ernesto de la cruz,real story behind miguel
Cars 3,175000000,152901115,383541369,260514,/fyy1nDC8wm553FCiBDojkJmKLCs.jpg,2017-06-15,102.0,It's not over until lightning strikes.,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",6,75,2017,6,15,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,Larry the Cable Guy,Kevin Reher,Randy Newman,Brian Fee,Kevin Reher,Bob Peterson,piston cup racing ’,late fabulous hudson hornet,eager young race technician
G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,14869,/29eW5c5DaCFQejdt9V14RrA51yD.jpg,2009-08-04,118.0,"When all else fails, they don't.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Paramount,Spyglass Entertainment,Di Bonaventura Pictures,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",6,50,2009,8,4,Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt,Ronna Kress,Alan Silvestri,Stephen Sommers,Lorenzo Di Bonaventura,Stuart Beattie,corrupt arms dealer destro,polar ice caps,mysterious cobra organization
The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,1735,/53hrZvxiV3HgG6pdhuMeErIc7Hg.jpg,2008-07-01,112.0,A New Evil Awakens.,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,China Film Co-Production Corporation,Relativity Media,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",4,51,2008,7,1,Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford,Ronna Kress,,Rob Cohen,Stephen Sommers,Miles Millar,old han dynasty,world domination,supernatural power
Evan Almighty,175000000,100289690,174131329,2698,/mtIjd19s4eOSkUm9P9iDVY35TsQ.jpg,2007-06-09,96.0,A comedy of biblical proportions,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Playtone,Universal Pictures,Spyglass Entertainment,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",5,36,2007,6,9,Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Deborah Aquila,,Tom Shadyac,Tom Shadyac,Steve Oedekerk,junior congressman evan baxter,whose wish,perplexing request
King Arthur: Legend of the Sword,175000000,39175066,139630336,274857,/gvSWdJN7peehxJYOugV9IwqiAFi.jpg,2017-05-10,126.0,From nothing comes a King,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,Weed Road Pictures,Wigram Productions,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",5,69,2017,5,10,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,Eric Bana,Reg Poerscout-Edgerton,Daniel Pemberton,Guy Ritchie,Guy Ritchie,Guy Ritchie,true legacy ... whether,child arthur ’,arthur ’
