title,Production_Budget,id,runtime,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,prod_company_1,prod_company_2,prod_company_3,tagline_wordcount,synopsis_wordcount,release_month,release_day,cast_1,cast_2,cast_3,cast_4,cast_5,casting,composer,director,producer,screenplay,keyword_1,keyword_2,keyword_3,target
Edge of Tomorrow,178000000,137113,113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,RatPac-Dune Entertainment,Village Roadshow Pictures,Viz Media,3,71,5,27,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,Lucinda Syson,Christophe Beck,Doug Liman,Erwin Stoff,Christopher McQuarrie,deja vu,time warp,restart,1
Up,175000000,14160,96.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,1,49,5,28,Ed Asner,Jordan Nagai,Christopher Plummer,Bob Peterson,Delroy Lindo,Kevin Reher,,Pete Docter,Jonas Rivera,Bob Peterson,age difference,central and south america,balloon,1
Cars 3,175000000,260514,102.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pixar,,,6,75,6,15,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,Larry the Cable Guy,Kevin Reher,Randy Newman,Brian Fee,Kevin Reher,Bob Peterson,cgi,anthropomorphism,,1
G.I. Joe: The Rise of Cobra,175000000,14869,118.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Paramount,Spyglass Entertainment,Di Bonaventura Pictures,6,50,8,4,Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt,Ronna Kress,Alan Silvestri,Stephen Sommers,Lorenzo Di Bonaventura,Stuart Beattie,terrorist,secret,hostage,1
The Mummy: Tomb of the Dragon Emperor,175000000,1735,112.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Universal Pictures,China Film Co-Production Corporation,Relativity Media,4,51,7,1,Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford,Ronna Kress,,Rob Cohen,Stephen Sommers,Miles Millar,,,,1
Evan Almighty,175000000,2698,96.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Playtone,Universal Pictures,Spyglass Entertainment,5,36,6,9,Steve Carell,Morgan Freeman,Lauren Graham,Johnny Simmons,Graham Phillips,Deborah Aquila,,Tom Shadyac,Tom Shadyac,Steve Oedekerk,father son relationship,daily life,married couple,0
King Arthur: Legend of the Sword,175000000,274857,126.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Village Roadshow Pictures,Weed Road Pictures,Wigram Productions,5,69,5,10,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou,Eric Bana,Reg Poerscout-Edgerton,Daniel Pemberton,Guy Ritchie,Guy Ritchie,Guy Ritchie,sword,king arthur,period drama,0
47 Ronin,175000000,64686,119.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mid Atlantic Films,Stuber Productions,Moving Picture Company,6,52,12,6,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Tadanobu Asano,Min Tanaka,Denise Chamian,,Carl Rinsch,Eric McLeod,Chris Morgan,japan,suicide,samurai,0
Guardians of the Galaxy,170000000,118340,121.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,4,28,7,30,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Sarah Finn,Tyler Bates,James Gunn,Kevin Feige,,marvel comic,spaceship,space,1
Iron Man 2,170000000,10138,124.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marvel Studios,,,12,63,4,28,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,Sarah Finn,,Jon Favreau,Kevin Feige,Justin Theroux,malibu,marvel comic,superhero,1
